         150          50           1           1
           1           1   0.00000000E+00   0.00000000E+00
           1           2  -4.88712593E-03   0.00000000E+00
           1           3  -9.89840045E-03   0.00000000E+00
           1           4  -1.50366063E-02   0.00000000E+00
           1           5  -2.03045760E-02   0.00000000E+00
           1           6  -2.57051957E-02   0.00000000E+00
           1           7  -3.12414056E-02   0.00000000E+00
           1           8  -3.69162046E-02   0.00000000E+00
           1           9  -4.27326529E-02   0.00000000E+00
           1          10  -4.86938685E-02   0.00000000E+00
           1          11  -5.48030367E-02   0.00000000E+00
           1          12  -6.10633982E-02   0.00000000E+00
           1          13  -6.74782613E-02   0.00000000E+00
           1          14  -7.40509972E-02   0.00000000E+00
           1          15  -8.07850443E-02   0.00000000E+00
           1          16  -8.76839193E-02   0.00000000E+00
           1          17  -9.47511910E-02   0.00000000E+00
           1          18  -1.01990503E-01   0.00000000E+00
           1          19  -1.09405580E-01   0.00000000E+00
           1          20  -1.17000199E-01   0.00000000E+00
           1          21  -1.24778214E-01   0.00000000E+00
           1          22  -1.32743556E-01   0.00000000E+00
           1          23  -1.40900206E-01   0.00000000E+00
           1          24  -1.49252268E-01   0.00000000E+00
           1          25  -1.57803870E-01   0.00000000E+00
           1          26  -1.66559229E-01   0.00000000E+00
           1          27  -1.75522636E-01   0.00000000E+00
           1          28  -1.84698457E-01   0.00000000E+00
           1          29  -1.94091134E-01   0.00000000E+00
           1          30  -2.03705150E-01   0.00000000E+00
           1          31  -2.13545126E-01   0.00000000E+00
           1          32  -2.23615695E-01   0.00000000E+00
           1          33  -2.33921582E-01   0.00000000E+00
           1          34  -2.44467569E-01   0.00000000E+00
           1          35  -2.55258530E-01   0.00000000E+00
           1          36  -2.66299395E-01   0.00000000E+00
           1          37  -2.77595218E-01   0.00000000E+00
           1          38  -2.89150945E-01   0.00000000E+00
           1          39  -3.00971761E-01   0.00000000E+00
           1          40  -3.13062792E-01   0.00000000E+00
           1          41  -3.25429284E-01   0.00000000E+00
           1          42  -3.38076512E-01   0.00000000E+00
           1          43  -3.51009810E-01   0.00000000E+00
           1          44  -3.64234483E-01   0.00000000E+00
           1          45  -3.77755956E-01   0.00000000E+00
           1          46  -3.91579561E-01   0.00000000E+00
           1          47  -4.05710575E-01   0.00000000E+00
           1          48  -4.20154362E-01   0.00000000E+00
           1          49  -4.34915959E-01   0.00000000E+00
           1          50  -4.50000000E-01   0.00000000E+00
 
           2           1   2.22237452E-05   6.30179724E-03
           2           2  -4.86494368E-03   6.31702179E-03
           2           3  -9.87626053E-03   6.33269688E-03
           2           4  -1.50145097E-02   6.34879619E-03
           2           5  -2.02825237E-02   6.36533042E-03
           2           6  -2.56831888E-02   6.38230611E-03
           2           7  -3.12194452E-02   6.39973301E-03
           2           8  -3.68942916E-02   6.41762093E-03
           2           9  -4.27107885E-02   6.43597916E-03
           2          10  -4.86720540E-02   6.45481842E-03
           2          11  -5.47812730E-02   6.47414802E-03
           2          12  -6.10416867E-02   6.49397867E-03
           2          13  -6.74566031E-02   6.51432108E-03
           2          14  -7.40293935E-02   6.53518690E-03
           2          15  -8.07634965E-02   6.55658590E-03
           2          16  -8.76624286E-02   6.57853018E-03
           2          17  -9.47297588E-02   6.60103140E-03
           2          18  -1.01969130E-01   6.62410120E-03
           2          19  -1.09384269E-01   6.64775074E-03
           2          20  -1.16978951E-01   6.67199306E-03
           2          21  -1.24757029E-01   6.69683982E-03
           2          22  -1.32722437E-01   6.72230357E-03
           2          23  -1.40879154E-01   6.74839737E-03
           2          24  -1.49231285E-01   6.77513424E-03
           2          25  -1.57782957E-01   6.80252770E-03
           2          26  -1.66538388E-01   6.83059031E-03
           2          27  -1.75501868E-01   6.85933698E-03
           2          28  -1.84677765E-01   6.88877981E-03
           2          29  -1.94070518E-01   6.91893417E-03
           2          30  -2.03684613E-01   6.94981404E-03
           2          31  -2.13524669E-01   6.98143337E-03
           2          32  -2.23595321E-01   7.01380847E-03
           2          33  -2.33901292E-01   7.04695331E-03
           2          34  -2.44447365E-01   7.08088465E-03
           2          35  -2.55238414E-01   7.11561693E-03
           2          36  -2.66279370E-01   7.15116737E-03
